title,artist
Heat Waves,Glass Animals
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
abcdefu,GAYLE
Super Gremlin,Kodak Black
Stay,The Kid LAROI & Justin Bieber
Easy On Me,Adele
Ghost,Justin Bieber
Shivers,Ed Sheeran
Bad Habits,Ed Sheeran
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Thats What I Want,Lil Nas X
Need To Know,Doja Cat
Enemy,Imagine Dragons X JID
Pushin P,Gunna & Future Featuring Young Thug
Levitating,Dua Lipa
Industry Baby,Lil Nas X & Jack Harlow
Big Energy,Latto
Surface Pressure,Jessica Darrow
Ahhh Ha,Lil Durk
Save Your Tears,The Weeknd & Ariana Grande
Woman,Doja Cat
One Right Now,Post Malone & The Weeknd
Hrs And Hrs,Muni Long
MAMIII,Becky G X Karol G
I Hate U,SZA
Buy Dirt,Jordan Davis Featuring Luke Bryan
'Til You Can't,Cody Johnson
Light Switch,Charlie Puth
Good 4 U,Olivia Rodrigo
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast"
Fancy Like,Walker Hayes
You Right,Doja Cat & The Weeknd
Sand In My Boots,Morgan Wallen
Love Nwantiti (Ah Ah Ah),CKay
Knife Talk,Drake Featuring 21 Savage & Project Pat
Fingers Crossed,Lauren Spencer-Smith
Doin' This,Luke Combs
Essence,Wizkid Featuring Justin Bieber & Tems
One Mississippi,Kane Brown
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
Nail Tech,Jack Harlow
Beers On Me,"Dierks Bentley, Breland & HARDY"
Freaky Deaky,Tyga X Doja Cat
You Should Probably Leave,Chris Stapleton
What Else Can I Do?,Diane Guerrero & Stephanie Beatriz
To Be Loved By You,Parker McCollum
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
Never Say Never,Cole Swindell / Lainey Wilson
Sacrifice,The Weeknd
AA,Walker Hayes
Dos Oruguitas,Sebastian Yatra
Do We Have A Problem?,Nicki Minaj X Lil Baby
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
Numb Little Bug,Em Beihold
Boyfriend,Dove Cameron
23,Sam Hunt
She's All I Wanna Be,Tate McRae
Me Or Sum,"Nardo Wick, Lil Baby & Future"
Broadway Girls,Lil Durk Featuring Morgan Wallen
Better Days,NEIKED X Mae Muller X Polo G
Peru,Fireboy DML & Ed Sheeran
Oh My God,Adele
Still D.R.E.,Dr. Dre Featuring Snoop Dogg
Rumors,Gucci Mane Featuring Lil Durk
Beautiful Lies,Yung Bleu & Kehlani
Pressure,Ari Lennox
Heart On Fire,Eric Church
High,The Chainsmokers
Circles Around This Town,Maren Morris
City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys"
Waiting On A Miracle,Stephanie Beatriz
P Power,Gunna Featuring Drake
The Motto,Tiesto & Ava Max
Banking On Me,Gunna
The Joker And The Queen,Ed Sheeran Featuring Taylor Swift
I'm Tired,Labrinth & Zendaya
If I Was A Cowboy,Miranda Lambert
Do It To It,Acraze Featuring Cherish
I Hate YoungBoy,YoungBoy Never Broke Again
I Love You So,The Walters
Usain Boo,Kodak Black
By Your Side,Rod Wave
Cigarettes,Juice WRLD
Worst Day,Future
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
Scorpio,Moneybagg Yo
Flower Shops,ERNEST Featuring Morgan Wallen
Slow Down Summer,Thomas Rhett
All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast"
I Wish,Kodak Black
When I'm Gone,Alesso / Katy Perry
Iffy,Chris Brown
Home Sweet,Russell Dickerson
Bussin,Nicki Minaj X Lil Baby
To The Moon!,JNR CHOI & Sam Tompkins
Good Morning Gorgeous,Mary J. Blige
Don't Play That,King Von & 21 Savage
Closer,Saweetie Featuring H.E.R.
Come Back As A Country Boy,Blake Shelton
Rocking A Cardigan In Atlanta,Lil Shordie Scott
